,Target,Date,Tweet Ago,Compound,Positive,Negative,Neutral,Text,Source
23,BBC,2018-01-15 20:08:25,24,-0.4588,0.109,0.239,0.652,RT @cbbc: Find out what it's like having a dad in prison with #MyLife Missing Dad today 5.30pm https://t.co/UMLCkp9wpI,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
24,BBC,2018-01-15 19:17:04,25,0.0,0.0,0.0,1.0,"? Discover the life story and work of Irish novelist James Joyce. 

Anjelica Huston on James Joyce: A Shout in the… https://t.co/ZSr9IF6dGp","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
25,BBC,2018-01-15 19:00:07,26,0.0,0.0,0.0,1.0,??? How snappers are coping with the cold snap! https://t.co/HXcJ2n3bh3,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
26,BBC,2018-01-15 17:56:06,27,-0.3818,0.0,0.115,0.885,? @RussellCrowe stars as an Australian who travels to Turkey after the Battle of Gallipoli to try and locate his th… https://t.co/7ejtbKyAzn,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
27,BBC,2018-01-15 17:43:04,28,0.5255,0.215,0.0,0.785,"RT @BBC6Music: Excuse me while I kiss you... on both cheeks! 
Previously unheard @JimiHendrix coming on @shaunwkeaveny's @BBC6Breakfast sho…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
28,BBC,2018-01-15 17:40:58,29,-0.5574,0.0,0.153,0.847,"The Cranberries lead singer Dolores O'Riordan has died in London at the age of 46, her publicist has confirmed. ?… https://t.co/koJrY04IEd","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
29,BBC,2018-01-15 17:30:03,30,0.0,0.0,0.0,1.0,These robots can 'imagine' the future. ?? https://t.co/7cWUlVIkHk,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
30,BBC,2018-01-15 17:00:13,31,0.25,0.133,0.0,0.867,New research suggests the female advantage in life expectancy has fundamental biological roots.… https://t.co/qjCCiZ19cd,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
31,BBC,2018-01-15 14:30:07,32,-0.6239,0.097,0.234,0.669,"It's easy to feel bogged down by bad weather and post-festive blues at this time of year. But fear not! 

Here are… https://t.co/nzRV8TsYJw","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
32,BBC,2018-01-15 14:02:03,33,0.0,0.0,0.0,1.0,"155 years ago, the world's first tunnel underneath a river was built. 

This is the history of the London Undergrou… https://t.co/awVEDUOxSx","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
33,BBC,2018-01-15 13:33:03,34,0.7845,0.365,0.0,0.635,Thousands of people celebrated alternative black culture at Africa's first AfroPunk festival. ?… https://t.co/nBFMlSDism,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
34,BBC,2018-01-15 13:03:25,35,0.7424,0.208,0.0,0.792,"RT @BBC_Teach: The stage is set for today's #500Words Live Lesson and it's looking ?!

Join us and these lovely people ? at 2pm to get thei…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
35,BBC,2018-01-15 13:01:04,36,0.7096,0.282,0.0,0.718,"Martin Luther King combined radical thought, political nous &amp; oratorical brilliance.

His I Have A Dream speech des… https://t.co/esYwLTTPAL","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
36,BBC,2018-01-15 12:33:47,37,0.0,0.0,0.0,1.0,"RT @BBCRadio2: ? @achrisevans officially declares 2018's 500 Words competition....OPEN! ?
Do you know a child with a knack for storytelling…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
37,BBC,2018-01-15 12:33:01,38,-0.3818,0.0,0.126,0.874,"These turtles have to battle through piles of rubbish and debris to get back to the ocean. ? 

#OurBluePlanet https://t.co/mbI36NK98e","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
38,BBC,2018-01-15 12:28:53,39,0.0,0.0,0.0,1.0,RT @bbcthree: #McMafia - the real-life heists behind the BBC drama https://t.co/1livSl0Wjt https://t.co/quEY9ExXmY,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
39,BBC,2018-01-15 12:13:03,40,0.0,0.0,0.0,1.0,"Pedal power! ??? 

How many cyclists would it take to power a home? https://t.co/CKtcL7xxtM https://t.co/gNtPFb3BBw","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
40,BBC,2018-01-15 12:10:56,41,0.0,0.0,0.0,1.0,"RT @bbcideas: Humans are rubbish! We get diseases, our bodies start to creak… but what if we could become part-machine? ?? https://t.co/uVF…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
41,BBC,2018-01-15 11:56:03,42,0.128,0.067,0.0,0.933,"London's air quality is within legal limits in mid-January for the first time in 10 years, City Hall has said. ??… https://t.co/deEVaBEkOA","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
42,BBC,2018-01-15 11:34:17,43,-0.1531,0.0,0.091,0.909,"Everybody gets down sometimes. But if it's stopping you living your life, you may be depressed.… https://t.co/hGYCHIEd1K","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
43,BBC,2018-01-15 11:18:03,44,0.1531,0.155,0.13,0.714,"?? Defeated by 'youthquake' to be @OxfordWords' word of the year, 'milkshake duck' has - perhaps fittingly - won so… https://t.co/WgobKLupRq","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
44,BBC,2018-01-15 10:37:22,45,0.4404,0.209,0.0,0.791,??? Synchronised ice skating is NOT as easy as it looks. ? https://t.co/IL8jqldnCV,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
45,BBC,2018-01-15 10:34:23,46,0.4927,0.21,0.0,0.79,RT @BBCArchive: Cyrille Regis making football look very easy indeed in 1981 https://t.co/JgW9mlN2Sj,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
46,BBC,2018-01-15 10:30:44,47,0.4404,0.146,0.0,0.854,"RT @BBCOne: How to feel better on #BlueMonday: 
• 1: Watch this. 
• 2: See above. 

????? 
#BigCats • https://t.co/ZrUUTF46lx • @BBCiPlayer…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
47,BBC,2018-01-15 09:00:05,48,0.4215,0.167,0.0,0.833,"? From wifi to drones, here are five Nikola Tesla predictions that came true. ? https://t.co/U05rvEERkv https://t.co/aswLID44m4","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
48,BBC,2018-01-15 08:44:20,49,-0.024,0.105,0.108,0.787,"RT @CBeebiesHQ: Today is #BlueMonday - the most depressing day of the year (apparently) ?

Thankfully, the @NHS has advice on how you can b…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
49,BBC,2018-01-15 08:44:03,50,0.0,0.0,0.0,1.0,"RT @BBCBreakfast: Could you write a 500 word story? ??
Today Radio 2 launch their children's writing competition '500 Words' and @davidwall…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
50,BBC,2018-01-15 08:40:40,51,0.5574,0.159,0.0,0.841,"RT @BBCEarth: It seems the return of the wolves has had remarkable consequences for the entire Yellowstone Park ecosystem
https://t.co/bgHH…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
51,BBC,2018-01-15 08:40:02,52,0.4926,0.144,0.0,0.856,"Every parent needs to watch this! 

???????? Some words of advice on how to keep your children safe online. https://t.co/czwGqmZvL3","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
52,BBC,2018-01-15 08:38:25,53,0.0772,0.08,0.0,0.92,RT @BBCiPlayer: ? #agynessdeyn and @mrjimsturgess have a box set challenge for you. Who’s in? ?? #HardSun https://t.co/zq0wbM1ED6,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
53,BBC,2018-01-15 08:20:04,54,-0.8481,0.0,0.365,0.635,"Brain injury doesn't always result in an undesirable personality change. 

?? When personality goes from bad to goo… https://t.co/i0Tq3OKNBM","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
